,count,pct_with_pairs,pct_of_pairs,pct_of_pairs_cum
2,518,5.18,0.818894650309852,0.818894650309852
3,1591,15.91,2.5151764259516884,3.3340710762615404
4,3080,30.8,4.869103326166687,8.203174402428228
5,4859,48.59,7.6814847603389405,15.884659162767168
6,6542,65.42,10.342101934994309,26.226761097761475
7,7967,79.67,12.594852662198052,38.821613759959526
8,9074,90.74,14.344884279752119,53.16649803971164
9,9682,96.82,15.306057923359049,68.47255596307069
10,9943,99.43,15.718667003920578,84.19122296699126
11,10000,100.0,15.808777033008726,99.99999999999999
